Order,Book,Hyperlink
1,Liber I,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/1?data-title=I+transcription&data-verticalTitle=I+transcription&data-type=book&data-id=book_transcription_1&data-boxTitle=I+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F1&data-maxWidth=300
2,Liber II,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/2?data-title=II+transcription&data-verticalTitle=II+transcription&data-type=book&data-id=book_transcription_2&data-boxTitle=II+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F2&data-maxWidth=300
3,Liber III,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/3?data-title=III+transcription&data-verticalTitle=III+transcription&data-type=book&data-id=book_transcription_3&data-boxTitle=III+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F3&data-maxWidth=300
4,Liber IV,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/4?data-title=IV+transcription&data-verticalTitle=IV+transcription&data-type=book&data-id=book_transcription_4&data-boxTitle=IV+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F4&data-maxWidth=300
5,Liber V,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/5?data-title=V+transcription&data-verticalTitle=V+transcription&data-type=book&data-id=book_transcription_5&data-boxTitle=V+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F5&data-maxWidth=300
6,Liber VI,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/6?data-title=VI+transcription&data-verticalTitle=VI+transcription&data-type=book&data-id=book_transcription_6&data-boxTitle=VI+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F6&data-maxWidth=300
7,Liber VII,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/7?data-title=VII+transcription&data-verticalTitle=VII+transcription&data-type=book&data-id=book_transcription_7&data-boxTitle=VII+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F7&data-maxWidth=300
8,Liber VIII,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/8?data-title=VIII+transcription&data-verticalTitle=VIII+transcription&data-type=book&data-id=book_transcription_8&data-boxTitle=VIII+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F8&data-maxWidth=300
9,Liber IX,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/9?data-title=IX+transcription&data-verticalTitle=IX+transcription&data-type=book&data-id=book_transcription_9&data-boxTitle=IX+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F9&data-maxWidth=300
10,Liber X,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/10?data-title=X+transcription&data-verticalTitle=X+transcription&data-type=book&data-id=book_transcription_10&data-boxTitle=X+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F10&data-maxWidth=300
