sheet,cell,text,url,subaddress
Sheet1,A1,Drag,http://ancientsource.daphnet.iliesi.cnr.it/,
Sheet1,A3,1-A transcription,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/146?data-title=1-A+transcription&data-verticalTitle=1-A+transcription&data-type=book&data-id=book_transcription_146&data-boxTitle=1-A+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F146&data-maxWidth=300,
Sheet1,A5,1-B transcription,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/147?data-title=1-B+transcription&data-verticalTitle=1-B+transcription&data-type=book&data-id=book_transcription_147&data-boxTitle=1-B+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F147&data-maxWidth=300,
Sheet1,A7,2-A transcription,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/150?data-title=2-A+transcription&data-verticalTitle=2-A+transcription&data-type=book&data-id=book_transcription_150&data-boxTitle=2-A+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F150&data-maxWidth=300,
Sheet1,A9,2-B transcription,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/151?data-title=2-B+transcription&data-verticalTitle=2-B+transcription&data-type=book&data-id=book_transcription_151&data-boxTitle=2-B+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F151&data-maxWidth=300,
Sheet1,A11,3-A transcription,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/56?data-title=3-A+transcription&data-verticalTitle=3-A+transcription&data-type=book&data-id=book_transcription_56&data-boxTitle=3-A+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F56&data-maxWidth=300,
Sheet1,A13,3-B transcription,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/57?data-title=3-B+transcription&data-verticalTitle=3-B+transcription&data-type=book&data-id=book_transcription_57&data-boxTitle=3-B+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F57&data-maxWidth=300,
Sheet1,A15,4-A transcription,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/61?data-title=4-A+transcription&data-verticalTitle=4-A+transcription&data-type=book&data-id=book_transcription_61&data-boxTitle=4-A+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F61&data-maxWidth=300,
Sheet1,A17,4-B transcription,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/62?data-title=4-B+transcription&data-verticalTitle=4-B+transcription&data-type=book&data-id=book_transcription_62&data-boxTitle=4-B+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F62&data-maxWidth=300,
Sheet1,A19,6-A transcription,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/67?data-title=6-A+transcription&data-verticalTitle=6-A+transcription&data-type=book&data-id=book_transcription_67&data-boxTitle=6-A+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F67&data-maxWidth=300,
