Order,Philosopher,Text,Hyperlink
2,Orpheus,1-A,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/146?data-title=1-A+transcription&data-verticalTitle=1-A+transcription&data-type=book&data-id=book_transcription_146&data-boxTitle=1-A+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F146&data-maxWidth=300
4,Orpheus,1-B,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/147?data-title=1-B+transcription&data-verticalTitle=1-B+transcription&data-type=book&data-id=book_transcription_147&data-boxTitle=1-B+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F147&data-maxWidth=300
6,Musaios,2-A,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/150?data-title=2-A+transcription&data-verticalTitle=2-A+transcription&data-type=book&data-id=book_transcription_150&data-boxTitle=2-A+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F150&data-maxWidth=300
8,Musaios,2-B,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/151?data-title=2-B+transcription&data-verticalTitle=2-B+transcription&data-type=book&data-id=book_transcription_151&data-boxTitle=2-B+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F151&data-maxWidth=300
10,Epimenides,3-A,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/56?data-title=3-A+transcription&data-verticalTitle=3-A+transcription&data-type=book&data-id=book_transcription_56&data-boxTitle=3-A+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F56&data-maxWidth=300
12,Epimenides,3-B,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/57?data-title=3-B+transcription&data-verticalTitle=3-B+transcription&data-type=book&data-id=book_transcription_57&data-boxTitle=3-B+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F57&data-maxWidth=300
14,Hesiodos,4-A,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/61?data-title=4-A+transcription&data-verticalTitle=4-A+transcription&data-type=book&data-id=book_transcription_61&data-boxTitle=4-A+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F61&data-maxWidth=300
16,Hesiodos,4-B,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/62?data-title=4-B+transcription&data-verticalTitle=4-B+transcription&data-type=book&data-id=book_transcription_62&data-boxTitle=4-B+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F62&data-maxWidth=300
18,Phokos-Kleostratos,6-A,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/67?data-title=6-A+transcription&data-verticalTitle=6-A+transcription&data-type=book&data-id=book_transcription_67&data-boxTitle=6-A+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F67&data-maxWidth=300
20,Phokos-Kleostratos,6-B,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/68?data-title=6-B+transcription&data-verticalTitle=6-B+transcription&data-type=book&data-id=book_transcription_68&data-boxTitle=6-B+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F68&data-maxWidth=300
