sheet,cell,text,url,subaddress
Sheet1,A2,PH-1 transcription,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/222?data-title=PH-1+transcription&data-verticalTitle=PH-1+transcription&data-type=book&data-id=book_transcription_222&data-boxTitle=PH-1+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F222&data-maxWidth=300,
Sheet1,A4,Math-1 transcription,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/211?data-title=Math-1+transcription&data-verticalTitle=Math-1+transcription&data-type=book&data-id=book_transcription_211&data-boxTitle=Math-1+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F211&data-maxWidth=300,
Sheet1,A6,PH-2 transcription,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/223?data-title=PH-2+transcription&data-verticalTitle=PH-2+transcription&data-type=book&data-id=book_transcription_223&data-boxTitle=PH-2+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F223&data-maxWidth=300,
Sheet1,A8,Math-2 transcription,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/212?data-title=Math-2+transcription&data-verticalTitle=Math-2+transcription&data-type=book&data-id=book_transcription_212&data-boxTitle=Math-2+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F212&data-maxWidth=300,
Sheet1,A10,PH-3 transcription,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/224?data-title=PH-3+transcription&data-verticalTitle=PH-3+transcription&data-type=book&data-id=book_transcription_224&data-boxTitle=PH-3+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F224&data-maxWidth=300,
Sheet1,A12,Math-3 transcription,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/213?data-title=Math-3+transcription&data-verticalTitle=Math-3+transcription&data-type=book&data-id=book_transcription_213&data-boxTitle=Math-3+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F213&data-maxWidth=300,
Sheet1,A14,Math-4 transcription,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/214?data-title=Math-4+transcription&data-verticalTitle=Math-4+transcription&data-type=book&data-id=book_transcription_214&data-boxTitle=Math-4+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F214&data-maxWidth=300,
Sheet1,A16,Math-5 transcription,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/215?data-title=Math-5+transcription&data-verticalTitle=Math-5+transcription&data-type=book&data-id=book_transcription_215&data-boxTitle=Math-5+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F215&data-maxWidth=300,
Sheet1,A18,Math-6 transcription,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/216?data-title=Math-6+transcription&data-verticalTitle=Math-6+transcription&data-type=book&data-id=book_transcription_216&data-boxTitle=Math-6+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F216&data-maxWidth=300,
Sheet1,A20,Math-7 transcription,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/217?data-title=Math-7+transcription&data-verticalTitle=Math-7+transcription&data-type=book&data-id=book_transcription_217&data-boxTitle=Math-7+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F217&data-maxWidth=300,
Sheet1,A22,Math-8 transcription,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/218?data-title=Math-8+transcription&data-verticalTitle=Math-8+transcription&data-type=book&data-id=book_transcription_218&data-boxTitle=Math-8+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F218&data-maxWidth=300,
Sheet1,A24,Math-9 transcription,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/219?data-title=Math-9+transcription&data-verticalTitle=Math-9+transcription&data-type=book&data-id=book_transcription_219&data-boxTitle=Math-9+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F219&data-maxWidth=300,
Sheet1,A26,Math-10 transcription,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/220?data-title=Math-10+transcription&data-verticalTitle=Math-10+transcription&data-type=book&data-id=book_transcription_220&data-boxTitle=Math-10+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F220&data-maxWidth=300,
Sheet1,A28,Math-11 transcription,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/221?data-title=Math-11+transcription&data-verticalTitle=Math-11+transcription&data-type=book&data-id=book_transcription_221&data-boxTitle=Math-11+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F221&data-maxWidth=300,
