sheet,cell,text,url,subaddress
Sheet1,A2,I-A transcription,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/175?data-title=I-A+transcription&data-verticalTitle=I-A+transcription&data-type=book&data-id=book_transcription_175&data-boxTitle=I-A+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F175&data-maxWidth=300,
Sheet1,A4,I-B transcription,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/176?data-title=I-B+transcription&data-verticalTitle=I-B+transcription&data-type=book&data-id=book_transcription_176&data-boxTitle=I-B+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F176&data-maxWidth=300,
Sheet1,A6,I-C transcription,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/188?data-title=I-C+transcription&data-verticalTitle=I-C+transcription&data-type=book&data-id=book_transcription_188&data-boxTitle=I-C+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F188&data-maxWidth=300,
Sheet1,A8,I-D transcription,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/157?data-title=I-D+transcription&data-verticalTitle=I-D+transcription&data-type=book&data-id=book_transcription_157&data-boxTitle=I-D+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F157&data-maxWidth=300,
Sheet1,A10,I-E transcription,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/156?data-title=I-E+transcription&data-verticalTitle=I-E+transcription&data-type=book&data-id=book_transcription_156&data-boxTitle=I-E+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F156&data-maxWidth=300,
Sheet1,A12,I-F transcription,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/177?data-title=I-F+transcription&data-verticalTitle=I-F+transcription&data-type=book&data-id=book_transcription_177&data-boxTitle=I-F+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F177&data-maxWidth=300,
Sheet1,A14,I-G transcription,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/178?data-title=I-G+transcription&data-verticalTitle=I-G+transcription&data-type=book&data-id=book_transcription_178&data-boxTitle=I-G+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F178&data-maxWidth=300,
Sheet1,A16,I-H transcription,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/179?data-title=I-H+transcription&data-verticalTitle=I-H+transcription&data-type=book&data-id=book_transcription_179&data-boxTitle=I-H+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F179&data-maxWidth=300,
Sheet1,A18,II-A transcription,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/180?data-title=II-A+transcription&data-verticalTitle=II-A+transcription&data-type=book&data-id=book_transcription_180&data-boxTitle=II-A+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F180&data-maxWidth=300,
Sheet1,A20,II-B transcription,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/181?data-title=II-B+transcription&data-verticalTitle=II-B+transcription&data-type=book&data-id=book_transcription_181&data-boxTitle=II-B+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F181&data-maxWidth=300,
Sheet1,A22,II-C transcription,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/182?data-title=II-C+transcription&data-verticalTitle=II-C+transcription&data-type=book&data-id=book_transcription_182&data-boxTitle=II-C+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F182&data-maxWidth=300,
Sheet1,A24,II-D transcription,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/158?data-title=II-D+transcription&data-verticalTitle=II-D+transcription&data-type=book&data-id=book_transcription_158&data-boxTitle=II-D+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F158&data-maxWidth=300,
Sheet1,A26,II-E transcription,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/159?data-title=II-E+transcription&data-verticalTitle=II-E+transcription&data-type=book&data-id=book_transcription_159&data-boxTitle=II-E+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F159&data-maxWidth=300,
Sheet1,A28,II-F transcription,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/183?data-title=II-F+transcription&data-verticalTitle=II-F+transcription&data-type=book&data-id=book_transcription_183&data-boxTitle=II-F+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F183&data-maxWidth=300,
Sheet1,A30,II-G transcription,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/160?data-title=II-G+transcription&data-verticalTitle=II-G+transcription&data-type=book&data-id=book_transcription_160&data-boxTitle=II-G+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F160&data-maxWidth=300,
