2025-08-18 17:59:02,649 - INFO - Starting extraction...
2025-08-18 17:59:02,810 - INFO - Successfully extracted: 1-A,1
2025-08-18 17:59:04,757 - INFO - Successfully extracted: 1-A,2
2025-08-18 17:59:06,758 - INFO - Successfully extracted: 1-A,3
2025-08-18 17:59:08,808 - INFO - Successfully extracted: 1-A,4
2025-08-18 17:59:10,826 - INFO - Successfully extracted: 1-A,5
2025-08-18 17:59:12,806 - INFO - Successfully extracted: 1-A,6
2025-08-18 17:59:14,821 - INFO - Successfully extracted: 1-A,7
2025-08-18 17:59:16,775 - INFO - Successfully extracted: 1-A,8
2025-08-18 17:59:18,769 - INFO - Successfully extracted: 1-A,9
2025-08-18 17:59:20,782 - INFO - Successfully extracted: 1-A,10
2025-08-18 17:59:22,780 - INFO - Successfully extracted: 1-A,11
2025-08-18 17:59:24,785 - INFO - Successfully extracted: 1-A,12
2025-08-18 17:59:26,813 - INFO - Successfully extracted: 1-A,13
2025-08-18 17:59:28,835 - INFO - Successfully extracted: 1-A,14
2025-08-18 17:59:30,803 - INFO - Successfully extracted: 1-A,15
2025-08-18 17:59:32,792 - INFO - Successfully extracted: 1-A,16
2025-08-18 17:59:34,784 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,17.plain.html
2025-08-18 17:59:36,786 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,18.plain.html
2025-08-18 17:59:38,786 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,19.plain.html
2025-08-18 17:59:40,837 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,20.plain.html
2025-08-18 17:59:42,852 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,21.plain.html
2025-08-18 17:59:44,840 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,22.plain.html
2025-08-18 17:59:46,839 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,23.plain.html
2025-08-18 17:59:48,842 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,24.plain.html
2025-08-18 17:59:50,834 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,25.plain.html
2025-08-18 17:59:52,794 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,26.plain.html
2025-08-18 17:59:54,795 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,27.plain.html
2025-08-18 17:59:56,798 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,28.plain.html
2025-08-18 17:59:58,824 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,29.plain.html
2025-08-18 18:00:00,848 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,30.plain.html
2025-08-18 18:00:02,802 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,31.plain.html
2025-08-18 18:00:04,802 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,32.plain.html
2025-08-18 18:00:06,854 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,33.plain.html
2025-08-18 18:00:08,799 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,34.plain.html
2025-08-18 18:00:10,838 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,35.plain.html
2025-08-18 18:00:12,861 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,36.plain.html
2025-08-18 18:00:14,811 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,37.plain.html
2025-08-18 18:00:16,847 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,38.plain.html
2025-08-18 18:00:18,810 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,39.plain.html
2025-08-18 18:00:20,812 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,40.plain.html
2025-08-18 18:00:22,818 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,41.plain.html
2025-08-18 18:00:24,814 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,42.plain.html
2025-08-18 18:00:26,874 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,43.plain.html
2025-08-18 18:00:28,817 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,44.plain.html
2025-08-18 18:00:30,819 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,45.plain.html
2025-08-18 18:00:32,825 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,46.plain.html
2025-08-18 18:00:34,833 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,47.plain.html
2025-08-18 18:00:36,829 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,48.plain.html
2025-08-18 18:00:38,832 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,49.plain.html
2025-08-18 18:00:40,834 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,50.plain.html
2025-08-18 18:00:42,829 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,51.plain.html
2025-08-18 18:00:44,833 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,52.plain.html
2025-08-18 18:00:46,845 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,53.plain.html
2025-08-18 18:00:48,828 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,54.plain.html
2025-08-18 18:00:50,833 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,55.plain.html
2025-08-18 18:00:52,839 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,56.plain.html
2025-08-18 18:00:54,841 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,57.plain.html
2025-08-18 18:00:56,842 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,58.plain.html
2025-08-18 18:00:58,851 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,59.plain.html
2025-08-18 18:01:00,854 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,60.plain.html
2025-08-18 18:01:02,845 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,61.plain.html
2025-08-18 18:01:04,844 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,62.plain.html
2025-08-18 18:01:06,889 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,63.plain.html
2025-08-18 18:01:08,889 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,64.plain.html
2025-08-18 18:01:10,849 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,65.plain.html
2025-08-18 18:01:12,861 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,66.plain.html
2025-08-18 18:01:14,851 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,67.plain.html
2025-08-18 18:01:16,870 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,68.plain.html
2025-08-18 18:01:18,849 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,69.plain.html
